date,year,tournament,match_weight,home_team,away_team,home_goals,away_goals,outcome,neutral
1887-03-19,1887,British Home Championship,0.5,England,Scotland,2.0,3.0,-1,False
1887-03-21,1887,British Home Championship,0.5,Wales,Scotland,0.0,2.0,-1,False
1888-02-04,1888,British Home Championship,0.5,England,Wales,5.0,1.0,1,False
1888-03-03,1888,British Home Championship,0.5,Wales,Northern Ireland,11.0,0.0,1,False
1888-03-10,1888,British Home Championship,0.5,Scotland,Wales,5.0,1.0,1,False
1888-03-17,1888,British Home Championship,0.5,Scotland,England,0.0,5.0,-1,False
1888-03-24,1888,British Home Championship,0.5,Northern Ireland,Scotland,2.0,10.0,-1,False
1888-04-07,1888,British Home Championship,0.5,Northern Ireland,England,1.0,5.0,-1,False
1888-09-19,1888,Friendly,0.3,Scotland,Canada,4.0,0.0,1,False
1889-02-23,1889,British Home Championship,0.5,England,Wales,4.0,1.0,1,False
1889-03-02,1889,British Home Championship,0.5,England,Northern Ireland,6.0,1.0,1,False
1889-03-09,1889,British Home Championship,0.5,Scotland,Northern Ireland,7.0,0.0,1,False
1889-04-13,1889,British Home Championship,0.5,England,Scotland,2.0,3.0,-1,False
1889-04-15,1889,British Home Championship,0.5,Wales,Scotland,0.0,0.0,0,False
1889-04-27,1889,British Home Championship,0.5,Northern Ireland,Wales,1.0,3.0,-1,False
1890-02-08,1890,British Home Championship,0.5,Wales,Northern Ireland,5.0,2.0,1,True
1890-03-15,1890,British Home Championship,0.5,Northern Ireland,England,1.0,9.0,-1,False
1890-03-15,1890,British Home Championship,0.5,Wales,England,1.0,3.0,-1,False
1890-03-22,1890,British Home Championship,0.5,Scotland,Wales,5.0,0.0,1,False
1890-03-29,1890,British Home Championship,0.5,Northern Ireland,Scotland,1.0,4.0,-1,False
1890-04-05,1890,British Home Championship,0.5,Scotland,England,1.0,1.0,0,False
1891-02-07,1891,British Home Championship,0.5,Northern Ireland,Wales,7.0,2.0,1,False
1891-03-07,1891,British Home Championship,0.5,England,Wales,4.0,1.0,1,False
1891-03-07,1891,British Home Championship,0.5,England,Northern Ireland,6.0,1.0,1,False
1891-03-21,1891,British Home Championship,0.5,Wales,Scotland,3.0,4.0,-1,False
1891-03-28,1891,British Home Championship,0.5,Scotland,Northern Ireland,2.0,1.0,1,False
1891-04-04,1891,British Home Championship,0.5,England,Scotland,2.0,1.0,1,False
1892-02-27,1892,British Home Championship,0.5,Wales,Northern Ireland,1.0,1.0,0,False
1892-03-05,1892,British Home Championship,0.5,Northern Ireland,England,0.0,2.0,-1,False
1892-03-05,1892,British Home Championship,0.5,Wales,England,0.0,2.0,-1,False
1892-03-19,1892,British Home Championship,0.5,Northern Ireland,Scotland,2.0,3.0,-1,False
1892-03-26,1892,British Home Championship,0.5,Scotland,Wales,6.0,1.0,1,False
1892-04-02,1892,British Home Championship,0.5,Scotland,England,1.0,4.0,-1,False
1893-02-25,1893,British Home Championship,0.5,England,Northern Ireland,6.0,1.0,1,False
1893-03-13,1893,British Home Championship,0.5,England,Wales,6.0,0.0,1,False
1893-03-18,1893,British Home Championship,0.5,Wales,Scotland,0.0,8.0,-1,False
1893-03-25,1893,British Home Championship,0.5,Scotland,Northern Ireland,6.0,1.0,1,False
1893-04-01,1893,British Home Championship,0.5,England,Scotland,5.0,2.0,1,False
1894-02-24,1894,British Home Championship,0.5,Wales,Northern Ireland,4.0,1.0,1,False
1894-03-03,1894,British Home Championship,0.5,Northern Ireland,England,2.0,2.0,0,False
1894-03-12,1894,British Home Championship,0.5,Wales,England,1.0,5.0,-1,False
1894-03-24,1894,British Home Championship,0.5,Scotland,Wales,5.0,2.0,1,False
1894-03-31,1894,British Home Championship,0.5,Northern Ireland,Scotland,1.0,2.0,-1,False
1894-04-07,1894,British Home Championship,0.5,Scotland,England,2.0,2.0,0,False
1895-03-09,1895,British Home Championship,0.5,England,Northern Ireland,9.0,0.0,1,False
1895-03-16,1895,British Home Championship,0.5,Northern Ireland,Wales,2.0,2.0,0,False
1895-03-18,1895,British Home Championship,0.5,England,Wales,1.0,1.0,0,False
1895-03-23,1895,British Home Championship,0.5,Wales,Scotland,2.0,2.0,0,False
1895-03-30,1895,British Home Championship,0.5,Scotland,Northern Ireland,3.0,1.0,1,False
1895-04-06,1895,British Home Championship,0.5,England,Scotland,3.0,0.0,1,False
1896-02-29,1896,British Home Championship,0.5,Wales,Northern Ireland,6.0,1.0,1,False
1896-03-07,1896,British Home Championship,0.5,Northern Ireland,England,0.0,2.0,-1,False
1896-03-16,1896,British Home Championship,0.5,Wales,England,1.0,9.0,-1,False
1896-03-21,1896,British Home Championship,0.5,Scotland,Wales,4.0,0.0,1,False
1896-03-28,1896,British Home Championship,0.5,Northern Ireland,Scotland,3.0,3.0,0,False
1896-04-04,1896,British Home Championship,0.5,Scotland,England,2.0,1.0,1,False
1897-02-20,1897,British Home Championship,0.5,England,Northern Ireland,6.0,0.0,1,False
1897-03-06,1897,British Home Championship,0.5,Northern Ireland,Wales,4.0,3.0,1,False
1897-03-20,1897,British Home Championship,0.5,Wales,Scotland,2.0,2.0,0,False
1897-03-27,1897,British Home Championship,0.5,Scotland,Northern Ireland,5.0,1.0,1,False
1897-03-29,1897,British Home Championship,0.5,England,Wales,4.0,0.0,1,False
1897-04-03,1897,British Home Championship,0.5,England,Scotland,1.0,2.0,-1,False
1898-02-19,1898,British Home Championship,0.5,Wales,Northern Ireland,0.0,1.0,-1,False
1898-03-05,1898,British Home Championship,0.5,Northern Ireland,England,2.0,3.0,-1,False
1898-03-19,1898,British Home Championship,0.5,Scotland,Wales,5.0,2.0,1,False
1898-03-26,1898,British Home Championship,0.5,Northern Ireland,Scotland,0.0,3.0,-1,False
1898-03-28,1898,British Home Championship,0.5,Wales,England,0.0,3.0,-1,False
1898-04-02,1898,British Home Championship,0.5,Scotland,England,1.0,3.0,-1,False
1899-02-18,1899,British Home Championship,0.5,England,Northern Ireland,13.0,2.0,1,False
1899-03-04,1899,British Home Championship,0.5,Northern Ireland,Wales,1.0,0.0,1,False
1899-03-18,1899,British Home Championship,0.5,Wales,Scotland,0.0,6.0,-1,False
1899-03-20,1899,British Home Championship,0.5,England,Wales,4.0,0.0,1,False
1899-03-25,1899,British Home Championship,0.5,Scotland,Northern Ireland,9.0,1.0,1,False
1899-04-08,1899,British Home Championship,0.5,England,Scotland,2.0,1.0,1,False
1900-02-03,1900,British Home Championship,0.5,Scotland,Wales,5.0,2.0,1,False
1900-02-24,1900,British Home Championship,0.5,Wales,Northern Ireland,2.0,0.0,1,False
1900-03-03,1900,British Home Championship,0.5,Northern Ireland,Scotland,0.0,3.0,-1,False
1900-03-17,1900,British Home Championship,0.5,Northern Ireland,England,0.0,2.0,-1,False
1900-03-26,1900,British Home Championship,0.5,Wales,England,1.0,1.0,0,False
1900-04-07,1900,British Home Championship,0.5,Scotland,England,4.0,1.0,1,False
1901-02-23,1901,British Home Championship,0.5,Scotland,Northern Ireland,11.0,0.0,1,False
1901-03-02,1901,British Home Championship,0.5,Wales,Scotland,1.0,1.0,0,False
1901-03-09,1901,British Home Championship,0.5,England,Northern Ireland,3.0,0.0,1,False
1901-03-18,1901,British Home Championship,0.5,England,Wales,6.0,0.0,1,False
1901-03-23,1901,British Home Championship,0.5,Northern Ireland,Wales,0.0,1.0,-1,False
1901-03-30,1901,British Home Championship,0.5,England,Scotland,2.0,2.0,0,False
1902-02-22,1902,British Home Championship,0.5,Wales,Northern Ireland,0.0,3.0,-1,False
1902-03-01,1902,British Home Championship,0.5,Northern Ireland,Scotland,1.0,5.0,-1,False
1902-03-03,1902,British Home Championship,0.5,Wales,England,0.0,0.0,0,False
1902-03-15,1902,British Home Championship,0.5,Scotland,Wales,5.0,1.0,1,False
1902-03-22,1902,British Home Championship,0.5,Northern Ireland,England,0.0,1.0,-1,False
1902-05-03,1902,British Home Championship,0.5,England,Scotland,2.0,2.0,0,False
