date,year,tournament,match_weight,home_team,away_team,home_goals,away_goals,outcome,neutral,home_elo,away_elo,elo_diff,home_elo_adj,expected_home,K,elo_delta,home_form,away_form,form_diff
1930-07-13,1930,FIFA World Cup,1.0,Belgium,United States,0.0,3.0,-1,True,1463.5,1505.8,-42.3,1463.5,0.4394,60,-26.37,-38.24000000000001,33.2,-71.44000000000001
1930-07-13,1930,FIFA World Cup,1.0,France,Mexico,4.0,1.0,1,True,1363.6,1490.9,-127.3,1363.6,0.3246,60,40.53,36.459999999999994,-72.18,108.64
1930-07-14,1930,FIFA World Cup,1.0,Brazil,Yugoslavia,1.0,2.0,-1,True,1551.8,1460.6,91.2,1551.8,0.6283,60,-37.7,13.990000000000002,42.61000000000001,-28.620000000000005
1930-07-14,1930,FIFA World Cup,1.0,Peru,Romania,1.0,3.0,-1,True,1433.1,1476.9,-43.8,1433.1,0.4374,60,-26.24,-87.57,53.010000000000005,-140.57999999999998
1930-07-15,1930,FIFA World Cup,1.0,Argentina,France,1.0,0.0,1,True,1725.0,1404.1,320.9,1725.0,0.8638,60,8.17,30.479999999999993,38.42999999999999,-7.949999999999999
1930-07-16,1930,FIFA World Cup,1.0,Chile,Mexico,3.0,0.0,1,True,1364.2,1450.4,-86.2,1364.2,0.3785,60,37.29,56.49000000000001,-115.22,171.71
1930-07-17,1930,FIFA World Cup,1.0,Bolivia,Yugoslavia,0.0,4.0,-1,True,1385.9,1498.3,-112.4,1385.9,0.3436,60,-20.62,-62.21,73.31,-135.52
1930-07-17,1930,FIFA World Cup,1.0,Paraguay,United States,0.0,3.0,-1,True,1508.4,1532.2,-23.8,1508.4,0.4658,60,-27.95,33.22,54.8,-21.58
1930-07-18,1930,FIFA World Cup,1.0,Uruguay,Peru,1.0,0.0,1,False,1669.5,1406.9,262.6,1769.5,0.8897,60,6.62,-30.700000000000003,-74.41999999999999,43.719999999999985
1930-07-19,1930,FIFA World Cup,1.0,Argentina,Mexico,6.0,3.0,1,True,1733.2,1413.1,320.1,1733.2,0.8633,60,8.2,32.10999999999999,-118.9,151.01
1930-07-19,1930,FIFA World Cup,1.0,Chile,France,1.0,0.0,1,True,1401.5,1395.9,5.6,1401.5,0.508,60,29.52,89.98,14.449999999999996,75.53
1930-07-20,1930,FIFA World Cup,1.0,Belgium,Paraguay,0.0,1.0,-1,True,1437.2,1480.5,-43.3,1437.2,0.438,60,-26.28,-52.760000000000005,54.9,-107.66
1930-07-20,1930,FIFA World Cup,1.0,Bolivia,Brazil,0.0,4.0,-1,True,1365.3,1514.1,-148.8,1365.3,0.298,60,-17.88,-70.42,4.720000000000002,-75.14
1930-07-21,1930,FIFA World Cup,1.0,Uruguay,Romania,4.0,0.0,1,False,1676.1,1503.1,173.0,1776.1,0.828,60,10.32,20.259999999999998,30.830000000000005,-10.570000000000007
1930-07-22,1930,FIFA World Cup,1.0,Argentina,Chile,3.0,1.0,1,True,1741.4,1431.0,310.4,1741.4,0.8565,60,8.61,33.76999999999999,90.2,-56.430000000000014
1930-07-26,1930,FIFA World Cup,1.0,Argentina,United States,6.0,1.0,1,True,1750.0,1560.1,189.9,1750.0,0.7489,60,15.06,33.26999999999999,33.7,-0.4300000000000139
1930-07-27,1930,FIFA World Cup,1.0,Uruguay,Yugoslavia,6.0,1.0,1,False,1686.4,1518.9,167.5,1786.4,0.8234,60,10.59,18.74,56.59000000000001,-37.85000000000001
1930-07-30,1930,FIFA World Cup,1.0,Uruguay,Argentina,4.0,2.0,1,False,1697.0,1765.1,-68.1,1797.0,0.5459,60,27.25,61.55,12.789999999999992,48.760000000000005
1934-05-27,1934,FIFA World Cup,1.0,Brazil,Spain,1.0,3.0,-1,True,1591.4,1671.6,-80.2,1591.4,0.3866,60,-23.2,32.69000000000001,57.71999999999999,-25.02999999999998
1934-05-27,1934,FIFA World Cup,1.0,Austria,France,3.0,2.0,1,True,1733.4,1419.9,313.5,1733.4,0.8587,60,8.48,42.68000000000001,14.539999999999996,28.14000000000001
1934-05-27,1934,FIFA World Cup,1.0,Belgium,Germany,2.0,5.0,-1,True,1378.6,1564.7,-186.0,1378.6,0.2552,60,-15.31,-49.59,59.25,-108.84
1934-05-27,1934,FIFA World Cup,1.0,Argentina,Sweden,2.0,3.0,-1,True,1743.1,1569.6,173.5,1743.1,0.7309,60,-43.85,-42.850000000000016,73.94,-116.79000000000002
1934-05-27,1934,FIFA World Cup,1.0,Czechoslovakia,Romania,2.0,1.0,1,True,1632.9,1540.8,92.1,1632.9,0.6295,60,22.23,53.150000000000006,7.170000000000002,45.980000000000004
1934-05-27,1934,FIFA World Cup,1.0,Egypt,Hungary,2.0,4.0,-1,True,1553.6,1612.7,-59.1,1553.6,0.4157,60,-24.94,11.709999999999997,43.17,-31.460000000000004
1934-05-27,1934,FIFA World Cup,1.0,Netherlands,Switzerland,2.0,3.0,-1,True,1475.8,1403.8,72.0,1475.8,0.6021,60,-36.13,-4.380000000000006,29.33,-33.71000000000001
1934-05-27,1934,FIFA World Cup,1.0,Italy,United States,7.0,1.0,1,False,1677.8,1554.0,123.8,1777.8,0.7839,60,12.97,16.550000000000008,8.839999999999998,7.71000000000001
1934-05-31,1934,FIFA World Cup,1.0,Austria,Hungary,2.0,1.0,1,True,1741.9,1637.6,104.2,1741.9,0.6457,60,21.26,44.980000000000004,26.1,18.880000000000003
1934-05-31,1934,FIFA World Cup,1.0,Czechoslovakia,Switzerland,3.0,2.0,1,True,1655.1,1439.9,215.2,1655.1,0.7754,60,13.48,44.260000000000005,25.56,18.700000000000006
1934-05-31,1934,FIFA World Cup,1.0,Germany,Sweden,2.0,1.0,1,True,1580.0,1613.5,-33.5,1580.0,0.452,60,32.88,82.42,40.620000000000005,41.8
1934-05-31,1934,FIFA World Cup,1.0,Italy,Spain,1.0,1.0,0,False,1690.8,1694.8,-4.0,1790.8,0.6347,60,-8.08,-7.649999999999993,61.99999999999999,-69.64999999999999
1934-06-01,1934,FIFA World Cup,1.0,Italy,Spain,1.0,0.0,1,False,1682.7,1702.9,-20.2,1782.7,0.6128,60,23.23,12.700000000000006,31.359999999999992,-18.659999999999986
1934-06-03,1934,FIFA World Cup,1.0,Italy,Austria,1.0,0.0,1,False,1705.9,1763.1,-57.2,1805.9,0.5613,60,26.32,57.980000000000004,11.68,46.300000000000004
1934-06-03,1934,FIFA World Cup,1.0,Czechoslovakia,Germany,3.0,1.0,1,True,1668.6,1612.9,55.7,1668.6,0.5795,60,25.23,63.32000000000001,50.239999999999995,13.080000000000013
1934-06-07,1934,FIFA World Cup,1.0,Austria,Germany,2.0,3.0,-1,True,1736.8,1587.6,149.2,1736.8,0.7024,60,-42.14,-34.65,83.9,-118.55000000000001
1934-06-10,1934,FIFA World Cup,1.0,Italy,Czechoslovakia,2.0,1.0,1,False,1732.2,1693.8,38.4,1832.2,0.6893,60,18.64,73.08000000000001,50.43000000000001,22.650000000000006
1938-06-04,1938,FIFA World Cup,1.0,Germany,Switzerland,1.0,1.0,0,True,1679.5,1452.7,226.8,1679.5,0.7868,60,-17.21,-40.620000000000005,61.019999999999996,-101.64
1938-06-05,1938,FIFA World Cup,1.0,Brazil,Poland,6.0,5.0,1,True,1598.7,1500.3,98.4,1598.7,0.6379,60,21.72,45.03,-13.070000000000007,58.10000000000001
1938-06-05,1938,FIFA World Cup,1.0,Cuba,Romania,3.0,3.0,0,True,1495.4,1487.0,8.4,1495.4,0.5121,60,-0.73,-29.099999999999998,-11.869999999999997,-17.23
1938-06-05,1938,FIFA World Cup,1.0,Czechoslovakia,Netherlands,3.0,0.0,1,True,1629.4,1481.0,148.4,1629.4,0.7015,60,17.91,-10.209999999999997,-13.650000000000007,3.44000000000001
1938-06-05,1938,FIFA World Cup,1.0,France,Belgium,3.0,1.0,1,False,1435.6,1393.2,42.4,1535.6,0.6942,60,18.35,30.779999999999994,-3.360000000000003,34.14
1938-06-05,1938,FIFA World Cup,1.0,Hungary,Indonesia,6.0,0.0,1,True,1680.0,1487.7,192.3,1680.0,0.7516,60,14.91,13.680000000000005,-27.19,40.870000000000005
1938-06-05,1938,FIFA World Cup,1.0,Italy,Norway,2.0,1.0,1,True,1773.0,1493.1,279.9,1773.0,0.8336,60,9.98,-2.9099999999999984,9.499999999999998,-12.409999999999997
1938-06-09,1938,FIFA World Cup,1.0,Cuba,Romania,2.0,1.0,1,True,1494.7,1487.8,7.0,1494.7,0.51,60,29.4,-10.689999999999998,-40.559999999999995,29.869999999999997
